role_id,permission_id
SAP_AP_CLERK_01,FB60
SAP_AP_CLERK_01,FBL1N
SAP_AP_CLERK_01,FK10N
SAP_AP_CLERK_01,XK03
SAP_AP_CLERK_01,ME23N
SAP_AP_CLERK_01,FB03
SAP_AP_CLERK_02,FB60
SAP_AP_CLERK_02,MIRO
SAP_AP_CLERK_02,FBL1N
SAP_AP_CLERK_02,FK10N
SAP_AP_CLERK_02,XK02
SAP_AP_CLERK_02,XK03
SAP_AP_CLERK_02,ME23N
SAP_AP_CLERK_02,FB03
SAP_AP_APPR_L1,FBL1N
SAP_AP_APPR_L1,MRBR
SAP_AP_APPR_L1,FB03
SAP_AP_APPR_L1,S_ALR_87012172
SAP_AP_APPR_L2,FBL1N
SAP_AP_APPR_L2,MRBR
SAP_AP_APPR_L2,FB03
SAP_AP_APPR_L2,S_ALR_87012172
SAP_AP_SUPER,FBL1N
SAP_AP_SUPER,FK10N
SAP_AP_SUPER,XK03
SAP_AP_SUPER,FB03
SAP_AP_SUPER,FBL3N
SAP_AP_SUPER,S_ALR_87012172
SAP_AP_SUPER,S_ALR_87012197
SAP_AP_SUPER,FAGLB03
SAP_AP_SUPER,ME2L
SAP_VENDOR_MAINT,XK02
SAP_VENDOR_MAINT,XK03
SAP_VENDOR_MAINT,MK03
SAP_PAY_PROC,F110
SAP_PAY_PROC,FBZP
SAP_PAY_PROC,F-53
SAP_PAY_PROC,F110E
SAP_PAY_PROC,FBL1N
SAP_AP_REPORT,FBL1N
SAP_AP_REPORT,FK10N
SAP_AP_REPORT,FB03
SAP_AP_REPORT,FBL3N
SAP_AP_REPORT,S_ALR_87012172
SAP_AP_REPORT,S_ALR_87012197
SAP_AP_REPORT,FAGLB03
SAP_AP_REPORT,ME2L
SAP_GL_POST,FB50
SAP_GL_POST,FBL3N
SAP_GL_POST,FAGLB03
SAP_AP_MGR,FB60
SAP_AP_MGR,MIRO
SAP_AP_MGR,FBL1N
SAP_AP_MGR,FK10N
SAP_AP_MGR,XK02
SAP_AP_MGR,XK03
SAP_AP_MGR,F110
SAP_AP_MGR,FBZP
SAP_AP_MGR,ME23N
SAP_AP_MGR,MRBR
